fill	x	y	xmin	xmax	ymin	ymax
#F4F2F9	14480	24	14455	14505	-1	49
#FBFBFD	14530	24	14505	14555	-1	49
#FEFDFE	14530	74	14505	14555	49	99
#FBFAFD	14580	74	14555	14605	49	99
#EAE7F4	14580	124	14555	14605	99	149
#F3F2F9	14630	124	14605	14655	99	149
#F7F6FB	14630	174	14605	14655	149	199
#FEFEFE	14680	174	14655	14705	149	199
#ECD4D1	14680	224	14655	14705	199	249
#FCFBFD	14730	224	14705	14755	199	249
#F0DEDB	14730	274	14705	14755	249	299
#FBF7F6	14780	274	14755	14805	249	299
#F7ECEA	14780	324	14755	14805	299	349
#F5F4FA	14830	324	14805	14855	299	349
#FDFDFE	14830	374	14805	14855	349	399
#FCFBFD	14880	374	14855	14905	349	399
#E1DDEF	14880	424	14855	14905	399	449
#F7F6FB	14930	424	14905	14955	399	449
#D4A6A1	14930	474	14905	14955	449	499
#F8F7FB	14980	474	14955	15005	449	499
#EFEDF6	14980	524	14955	15005	499	549
#E4E0F0	15030	524	15005	15055	499	549
#3A3A98	15030	574	15005	15055	549	599
#E6E2F1	15080	574	15055	15105	549	599
#F3E5E3	15080	624	15055	15105	599	649
#EFECF6	15130	624	15105	15155	599	649
#F6EBE9	15130	674	15105	15155	649	699
#FBF5F4	15180	674	15155	15205	649	699
#E3C3BF	15180	724	15155	15205	699	749
#E3DFF0	15230	724	15205	15255	699	749
#A75B54	15230	774	15205	15255	749	799
#F6F4FA	15280	774	15255	15305	749	799
#F2F0F8	14580	24	14555	14605	-1	49
#FAFAFC	14680	124	14655	14705	99	149
#F6EBEA	14780	224	14755	14805	199	249
#FCFBFD	14880	324	14855	14905	299	349
#FAF5F4	14980	424	14955	15005	399	449
#F0EDF7	14630	74	14605	14655	49	99
#FDFAF9	14730	174	14705	14755	149	199
#FBF6F5	14830	274	14805	14855	249	299
#F9F1F0	14930	374	14905	14955	349	399
#F8F7FB	15030	474	15005	15055	449	499
#F9F2F1	15130	574	15105	15155	549	599
#FFFFFF	15180	624	15155	15205	599	649
#F9F2F1	15230	674	15205	15255	649	699
#F6F5FA	15280	724	15255	15305	699	749
#EEECF6	15080	524	15055	15105	499	549
#F3F2F9	15330	774	15305	15355	749	799
#F9F8FC	14630	24	14605	14655	-1	49
#FCFBFD	14680	74	14655	14705	49	99
#FFFFFF	14730	124	14705	14755	99	149
#FDFBFB	14780	174	14755	14805	149	199
#F8F0EE	14830	224	14805	14855	199	249
#FDFBFA	14880	274	14855	14905	249	299
#FDFAF9	14930	324	14905	14955	299	349
#FAF9FC	14980	374	14955	15005	349	399
#FFFEFE	15030	424	15005	15055	399	449
#FBFAFD	15080	474	15055	15105	449	499
#E7E3F2	15130	524	15105	15155	499	549
#EBE8F4	15230	624	15205	15255	599	649
#FCF7F6	15180	574	15155	15205	549	599
#E6E2F1	15280	674	15255	15305	649	699
#EAE7F3	15330	724	15305	15355	699	749
#F2F0F8	14680	24	14655	14705	-1	49
#FDFDFE	14780	124	14755	14805	99	149
#FBF5F4	14880	224	14855	14905	199	249
#FBF5F4	14980	324	14955	15005	299	349
#FBFAFD	15180	524	15155	15205	499	549
#FDFAFA	15280	624	15255	15305	599	649
#FCFBFD	14730	74	14705	14755	49	99
#FAF3F2	14830	174	14805	14855	149	199
#FCF8F7	14930	274	14905	14955	249	299
#FEFCFC	15030	374	15005	15055	349	399
#FDFDFE	15080	424	15055	15105	399	449
#F3F2F9	15130	474	15105	15155	449	499
#FEFCFC	15230	574	15205	15255	549	599
#F7F6FB	15330	674	15305	15355	649	699
#C1B9DD	15380	724	15355	15405	699	749
#FCFBFD	14730	24	14705	14755	-1	49
#F5F4FA	14780	74	14755	14805	49	99
#F0EEF7	14830	124	14805	14855	99	149
#FDFDFE	14880	174	14855	14905	149	199
#FAF9FC	14930	224	14905	14955	199	249
#FCFCFE	14980	274	14955	15005	249	299
#FDFDFE	15030	324	15005	15055	299	349
#F9F8FB	15080	374	15055	15105	349	399
#EDEAF5	15130	424	15105	15155	399	449
#F2F0F8	15180	474	15155	15205	449	499
#F3F2F9	15230	524	15205	15255	499	549
#F2F0F8	15280	574	15255	15305	549	599
#FFFFFF	15330	624	15305	15355	599	649
#E8E5F3	15380	674	15355	15405	649	699
#FDFDFE	14780	24	14755	14805	-1	49
#FFFFFF	14880	124	14855	14905	99	149
#FEFEFE	14980	224	14955	15005	199	249
#FEFDFD	15080	324	15055	15105	299	349
#F1EFF8	15280	524	15255	15305	499	549
