x	y	clickSelects	xmin	xmax	ymin	ymax
14480	24	14500,0	14455	14505	-1	49
14530	24	14550,0	14505	14555	-1	49
14530	74	14550,50	14505	14555	49	99
14580	74	14600,50	14555	14605	49	99
14580	124	14600,100	14555	14605	99	149
14630	124	14650,100	14605	14655	99	149
14630	174	14650,150	14605	14655	149	199
14680	174	14700,150	14655	14705	149	199
14680	224	14700,200	14655	14705	199	249
14730	224	14750,200	14705	14755	199	249
14730	274	14750,250	14705	14755	249	299
14780	274	14800,250	14755	14805	249	299
14780	324	14800,300	14755	14805	299	349
14830	324	14850,300	14805	14855	299	349
14830	374	14850,350	14805	14855	349	399
14880	374	14900,350	14855	14905	349	399
14880	424	14900,400	14855	14905	399	449
14930	424	14950,400	14905	14955	399	449
14930	474	14950,450	14905	14955	449	499
14980	474	15000,450	14955	15005	449	499
14980	524	15000,500	14955	15005	499	549
15030	524	15050,500	15005	15055	499	549
15030	574	15050,550	15005	15055	549	599
15080	574	15100,550	15055	15105	549	599
15080	624	15100,600	15055	15105	599	649
15130	624	15150,600	15105	15155	599	649
15130	674	15150,650	15105	15155	649	699
15180	674	15200,650	15155	15205	649	699
15180	724	15200,700	15155	15205	699	749
15230	724	15250,700	15205	15255	699	749
15230	774	15250,750	15205	15255	749	799
15280	774	15300,750	15255	15305	749	799
14580	24	14600,0	14555	14605	-1	49
14680	124	14700,100	14655	14705	99	149
14780	224	14800,200	14755	14805	199	249
14880	324	14900,300	14855	14905	299	349
14980	424	15000,400	14955	15005	399	449
14630	74	14650,50	14605	14655	49	99
14730	174	14750,150	14705	14755	149	199
14830	274	14850,250	14805	14855	249	299
14930	374	14950,350	14905	14955	349	399
15030	474	15050,450	15005	15055	449	499
15130	574	15150,550	15105	15155	549	599
15180	624	15200,600	15155	15205	599	649
15230	674	15250,650	15205	15255	649	699
15280	724	15300,700	15255	15305	699	749
15080	524	15100,500	15055	15105	499	549
15330	774	15350,750	15305	15355	749	799
14630	24	14650,0	14605	14655	-1	49
14680	74	14700,50	14655	14705	49	99
14730	124	14750,100	14705	14755	99	149
14780	174	14800,150	14755	14805	149	199
14830	224	14850,200	14805	14855	199	249
14880	274	14900,250	14855	14905	249	299
14930	324	14950,300	14905	14955	299	349
14980	374	15000,350	14955	15005	349	399
15030	424	15050,400	15005	15055	399	449
15080	474	15100,450	15055	15105	449	499
15130	524	15150,500	15105	15155	499	549
15230	624	15250,600	15205	15255	599	649
15180	574	15200,550	15155	15205	549	599
15280	674	15300,650	15255	15305	649	699
15330	724	15350,700	15305	15355	699	749
14680	24	14700,0	14655	14705	-1	49
14780	124	14800,100	14755	14805	99	149
14880	224	14900,200	14855	14905	199	249
14980	324	15000,300	14955	15005	299	349
15180	524	15200,500	15155	15205	499	549
15280	624	15300,600	15255	15305	599	649
14730	74	14750,50	14705	14755	49	99
14830	174	14850,150	14805	14855	149	199
14930	274	14950,250	14905	14955	249	299
15030	374	15050,350	15005	15055	349	399
15080	424	15100,400	15055	15105	399	449
15130	474	15150,450	15105	15155	449	499
15230	574	15250,550	15205	15255	549	599
15330	674	15350,650	15305	15355	649	699
15380	724	15400,700	15355	15405	699	749
14730	24	14750,0	14705	14755	-1	49
14780	74	14800,50	14755	14805	49	99
14830	124	14850,100	14805	14855	99	149
14880	174	14900,150	14855	14905	149	199
14930	224	14950,200	14905	14955	199	249
14980	274	15000,250	14955	15005	249	299
15030	324	15050,300	15005	15055	299	349
15080	374	15100,350	15055	15105	349	399
15130	424	15150,400	15105	15155	399	449
15180	474	15200,450	15155	15205	449	499
15230	524	15250,500	15205	15255	499	549
15280	574	15300,550	15255	15305	549	599
15330	624	15350,600	15305	15355	599	649
15380	674	15400,650	15355	15405	649	699
14780	24	14800,0	14755	14805	-1	49
14880	124	14900,100	14855	14905	99	149
14980	224	15000,200	14955	15005	199	249
15080	324	15100,300	15055	15105	299	349
15280	524	15300,500	15255	15305	499	549
15380	624	15400,600	15355	15405	599	649
