group	fill	clickSelects
1	#FFFFFF	11
2	#FFFFFF	11
3	#FFFFFF	11
4	#FFFFFF	11
5	#FFFFFF	11
6	#FFFFFF	154
7	#FFFFFF	154
8	#FFFFFF	154
9	#FFFFFF	154
10	#FFFFFF	11
11	#FFFFFF	11
12	#FFFFFF	11
13	#FFFFFF	11
14	#FFFFFF	11
15	#FFFFFF	11
16	#FFFFFF	11
17	#FFFFFF	11
18	#FFFFFF	2323
19	#FFFFFF	2323
20	#FFFFFF	11
21	#FFFFFF	11
22	#FFFFFF	11
23	#FFFFFF	11
24	#FFFFFF	11
25	#FFFFFF	11
26	#FFFFFF	11
27	#FFFFFF	11
28	#FFFFFF	11
29	#FFFFFF	11
30	#FFFFFF	11
31	#FFFFFF	11
32	#FFFFFF	84
33	#FFFFFF	84
34	#FFFFFF	84
35	#FFFFFF	84
36	#FFFFFF	11
37	#FFFFFF	84
38	#FFFFFF	11
39	#FFFFFF	84
40	#FFFFFF	84
41	#FFFFFF	84
42	#FFFFFF	60
44	#FFFFFF	84
45	#FFFFFF	60
46	#FFFFFF	11
47	#FFFFFF	11
48	#FFFFFF	11
49	#FFFFFF	11
50	#FFFFFF	11
51	#FFFFFF	11
52	#FFFFFF	11
53	#FFFFFF	11
54	#FFFFFF	154
55	#FFFFFF	154
56	#FFFFFF	154
57	#FFFFFF	154
58	#FFFFFF	154
59	#FFFFFF	154
60	#FFFFFF	11
61	#FFFFFF	11
62	#FFFFFF	11
63	#FFFFFF	11
64	#FFFFFF	11
65	#FFFFFF	11
66	#FFFFFF	11
67	#FFFFFF	11
68	#FFFFFF	2323
69	#FFFFFF	2323
70	#FFFFFF	11
71	#FFFFFF	11
72	#FFFFFF	11
73	#FFFFFF	11
74	#FFFFFF	11
75	#FFFFFF	11
76	#FFFFFF	11
77	#FFFFFF	11
78	#FFFFFF	11
79	#FFFFFF	11
80	#FFFFFF	11
81	#FFFFFF	11
82	#FFFFFF	84
83	#FFFFFF	84
84	#FFFFFF	84
85	#FFFFFF	84
86	#FFFFFF	11
87	#FFFFFF	11
88	#FFFFFF	11
89	#FFFFFF	11
90	#FFFFFF	84
91	#FFFFFF	84
92	#FFFFFF	84
94	#FFFFFF	60
95	#FFFFFF	60
96	#FFFFFF	60
97	#FFFFFF	11
98	#FFFFFF	11
99	#FFFFFF	11
100	#FFFFFF	11
101	#FFFFFF	11
102	#FFFFFF	11
103	#FFFFFF	11
104	#FFFFFF	11
105	#FFFFFF	154
106	#FFFFFF	154
107	#FFFFFF	154
108	#FFFFFF	154
109	#FFFFFF	154
110	#FFFFFF	154
111	#FFFFFF	11
112	#FFFFFF	11
113	#FFFFFF	11
114	#FFFFFF	11
115	#FFFFFF	11
116	#FFFFFF	11
117	#FFFFFF	11
118	#FFFFFF	11
119	#FFFFFF	2323
120	#FFFFFF	2323
121	#FFFFFF	11
122	#FFFFFF	2323
123	#FFFFFF	11
124	#FFFFFF	11
125	#FFFFFF	11
126	#FFFFFF	11
127	#FFFFFF	11
128	#FFFFFF	11
129	#FFFFFF	11
130	#FFFFFF	11
131	#FFFFFF	11
132	#FFFFFF	11
133	#FFFFFF	84
134	#FFFFFF	84
135	#FFFFFF	11
136	#FFFFFF	11
137	#FFFFFF	11
138	#FFFFFF	11
139	#FFFFFF	11
140	#FFFFFF	84
141	#FFFFFF	84
142	#FFFFFF	84
144	#FFFFFF	60
145	#FFFFFF	60
146	#FFFFFF	60
147	#FFFFFF	11
148	#FFFFFF	11
149	#FFFFFF	11
150	#FFFFFF	11
151	#FFFFFF	154
152	#FFFFFF	11
153	#FFFFFF	11
154	#FFFFFF	11
155	#FFFFFF	11
156	#FFFFFF	11
157	#FFFFFF	11
158	#FFFFFF	11
159	#FFFFFF	11
160	#FFFFFF	11
161	#FFFFFF	11
162	#FFFFFF	11
163	#FFFFFF	11
164	#FFFFFF	11
165	#FFFFFF	11
166	#FFFFFF	11
167	#FFFFFF	11
168	#FFFFFF	11
169	#FFFFFF	2323
170	#FFFFFF	2323
171	#FFFFFF	11
172	#FFFFFF	11
173	#FFFFFF	2323
174	#FFFFFF	11
175	#FFFFFF	11
176	#FFFFFF	670
177	#FFFFFF	11
178	#FFFFFF	11
179	#FFFFFF	11
180	#FFFFFF	346
181	#FFFFFF	11
182	#FFFFFF	346
183	#FFFFFF	346
185	#FFFFFF	346
186	#FFFFFF	346
187	#FFFFFF	670
188	#FFFFFF	346
189	#FFFFFF	11
190	#FFFFFF	346
191	#FFFFFF	346
192	#FFFFFF	346
193	#FFFFFF	346
194	#FFFFFF	346
195	#FFFFFF	11
196	#FFFFFF	11
197	#FFFFFF	11
198	#FFFFFF	670
199	#FFFFFF	670
200	#FFFFFF	11
201	#FFFFFF	11
202	#FFFFFF	670
203	#FFFFFF	11
204	#FFFFFF	11
205	#FFFFFF	11
206	#FFFFFF	11
207	#FFFFFF	11
208	#FFFFFF	11
209	#FFFFFF	11
210	#FFFFFF	11
211	#FFFFFF	11
212	#FFFFFF	11
213	#FFFFFF	11
214	#FFFFFF	11
215	#FFFFFF	11
216	#FFFFFF	11
217	#FFFFFF	11
218	#FFFFFF	11
219	#FFFFFF	2323
220	#FFFFFF	11
221	#FFFFFF	2323
222	#FFFFFF	11
223	#FFFFFF	11
224	#FFFFFF	11
225	#FFFFFF	11
226	#FFFFFF	11
227	#FFFFFF	670
228	#FFFFFF	11
229	#FFFFFF	11
230	#FFFFFF	11
231	#FFFFFF	11
232	#FFFFFF	346
233	#FFFFFF	346
235	#FFFFFF	346
236	#FFFFFF	346
237	#FFFFFF	346
238	#FFFFFF	670
239	#FFFFFF	346
240	#FFFFFF	11
241	#FFFFFF	11
242	#FFFFFF	346
243	#FFFFFF	346
244	#FFFFFF	346
245	#FFFFFF	346
246	#FFFFFF	11
247	#FFFFFF	11
248	#FFFFFF	670
249	#FFFFFF	11
250	#FFFFFF	11
251	#FFFFFF	11
252	#FFFFFF	11
253	#FFFFFF	11
254	#FFFFFF	11
255	#FFFFFF	11
256	#FFFFFF	11
257	#FFFFFF	11
258	#FFFFFF	11
259	#FFFFFF	11
260	#FFFFFF	11
261	#FFFFFF	11
262	#FFFFFF	11
263	#FFFFFF	11
264	#FFFFFF	11
265	#FFFFFF	11
266	#FFFFFF	11
267	#FFFFFF	11
268	#FFFFFF	11
269	#FFFFFF	11
270	#FFFFFF	11
271	#FFFFFF	2323
272	#FFFFFF	2323
273	#FFFFFF	2323
274	#FFFFFF	11
275	#FFFFFF	11
276	#FFFFFF	11
277	#FFFFFF	670
278	#FFFFFF	11
279	#FFFFFF	11
280	#FFFFFF	11
281	#FFFFFF	11
282	#FFFFFF	346
283	#FFFFFF	11
285	#FFFFFF	346
286	#FFFFFF	346
287	#FFFFFF	346
288	#FFFFFF	670
289	#FFFFFF	346
290	#FFFFFF	11
291	#FFFFFF	11
292	#FFFFFF	11
293	#FFFFFF	11
294	#FFFFFF	346
295	#FFFFFF	11
296	#FFFFFF	11
297	#FFFFFF	11
298	#FFFFFF	11
299	#FFFFFF	670
300	#FFFFFF	670
301	#FFFFFF	11
302	#FFFFFF	11
303	#FFFFFF	11
304	#FFFFFF	11
305	#FFFFFF	11
306	#FFFFFF	11
307	#FFFFFF	11
308	#FFFFFF	11
309	#FFFFFF	11
310	#FFFFFF	11
311	#FFFFFF	11
312	#FFFFFF	11
313	#FFFFFF	11
314	#FFFFFF	11
315	#FFFFFF	11
316	#FFFFFF	11
318	#FFFFFF	11
319	#FFFFFF	11
320	#FFFFFF	11
321	#FFFFFF	2323
322	#FFFFFF	2323
323	#FFFFFF	2323
324	#FFFFFF	2323
325	#FFFFFF	11
326	#FFFFFF	11
327	#FFFFFF	11
328	#FFFFFF	670
329	#FFFFFF	11
330	#FFFFFF	11
331	#FFFFFF	11
332	#FFFFFF	11
333	#FFFFFF	11
335	#FFFFFF	346
336	#FFFFFF	346
337	#FFFFFF	346
338	#FFFFFF	346
339	#FFFFFF	670
340	#FFFFFF	346
341	#FFFFFF	11
342	#FFFFFF	11
343	#FFFFFF	11
344	#FFFFFF	346
345	#FFFFFF	346
346	#FFFFFF	11
347	#FFFFFF	11
348	#FFFFFF	11
349	#FFFFFF	670
350	#FFFFFF	11
351	#FFFFFF	11
352	#FFFFFF	11
353	#FFFFFF	11
354	#FFFFFF	670
355	#FFFFFF	670
356	#FFFFFF	11
357	#FFFFFF	11
358	#FFFFFF	11
359	#FFFFFF	11
360	#FFFFFF	11
361	#FFFFFF	11
362	#FFFFFF	11
363	#FFFFFF	11
364	#FFFFFF	11
365	#FFFFFF	11
366	#FFFFFF	11
367	#FFFFFF	11
368	#FFFFFF	11
369	#FFFFFF	11
370	#FFFFFF	11
371	#FFFFFF	11
372	#FFFFFF	2323
373	#FFFFFF	2323
374	#FFFFFF	2323
375	#FFFFFF	2323
376	#FFFFFF	2323
377	#FFFFFF	11
378	#FFFFFF	670
379	#FFFFFF	11
380	#FFFFFF	11
381	#FFFFFF	11
382	#FFFFFF	11
383	#FFFFFF	11
385	#FFFFFF	346
386	#FFFFFF	346
387	#FFFFFF	346
388	#FFFFFF	346
389	#FFFFFF	670
390	#FFFFFF	346
391	#FFFFFF	346
392	#FFFFFF	11
393	#FFFFFF	11
394	#FFFFFF	11
395	#FFFFFF	11
396	#FFFFFF	11
397	#FFFFFF	11
398	#FFFFFF	11
399	#FFFFFF	60
400	#FFFFFF	670
401	#FFFFFF	670
402	#FFFFFF	11
403	#FFFFFF	11
404	#FFFFFF	11
405	#FFFFFF	670
406	#FFFFFF	670
407	#FFFFFF	11
408	#FFFFFF	11
409	#FFFFFF	11
410	#FFFFFF	11
411	#FFFFFF	11
412	#FFFFFF	11
413	#FFFFFF	11
414	#FFFFFF	11
415	#FFFFFF	11
416	#FFFFFF	11
417	#FFFFFF	11
418	#FFFFFF	670
