group	label	showSelected1
1	Cluster 17: 1792/26847 pixels shown, logFC -4.6 to 5.0, log10(p) 0.0 to 17.8	17
1	Cluster 119: 373/1889 pixels shown, logFC -4.9 to 4.2, log10(p) 0.0 to 3.7	119
1	Cluster 162: 721/10095 pixels shown, logFC -4.7 to 4.7, log10(p) 0.0 to 4.2	162
1	Cluster 312: 456/538 pixels shown, logFC -4.0 to 4.2, log10(p) 0.0 to 2.8	312
1	Cluster 466: 354/5323 pixels shown, logFC -5.1 to 4.9, log10(p) 0.0 to 3.9	466
1	Cluster 548: 941/3786 pixels shown, logFC -4.7 to 4.2, log10(p) 0.0 to 4.6	548
1	Cluster 942: 30/30 pixels shown, logFC -3.8 to 1.3, log10(p) 0.0 to 1.5	942
1	Cluster 1097: 5/91 pixels shown, logFC -1.2 to 3.6, log10(p) 0.0 to 2.0	1097
1	Cluster 1161: 145/497 pixels shown, logFC -3.8 to 2.1, log10(p) 0.0 to 3.0	1161
1	Cluster 1270: 32/76 pixels shown, logFC -3.8 to 2.7, log10(p) 0.0 to 1.5	1270
1	Cluster 1595: 8/8 pixels shown, logFC -4.2 to -0.7, log10(p) 0.3 to 2.0	1595
1	Cluster 2156: 10/10 pixels shown, logFC -3.1 to -0.7, log10(p) 0.4 to 1.0	2156
1	Cluster 2301: 25/142 pixels shown, logFC -1.2 to 2.3, log10(p) 0.0 to 4.2	2301
1	Cluster 2385: 8/8 pixels shown, logFC -3.8 to -1.0, log10(p) 0.4 to 1.7	2385
1	Cluster 2811: 78/78 pixels shown, logFC -4.2 to 1.8, log10(p) 0.0 to 2.2	2811
